Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
214	1.065	822.50177	-1178.44934	1083.39709	789.60559	-1234.90076	1180.94275	686.11566	-1418.38403	1498.927
215	1.07	819.73962	-1179.1676	1077.85217	786.27118	-1235.41919	1175.37646	681.08234	-1418.24048	1493.0592
216	1.075	816.78021	-1179.58105	1072.08203	782.79559	-1236.01172	1169.3595	675.72803	-1418.54785	1486.87622
217	1.08	813.73334	-1180.79797	1065.70972	779.24438	-1236.55396	1163.16553	670.49164	-1418.55811	1480.38733
218	1.085	810.57751	-1181.59619	1059.1875	775.55682	-1237.47534	1156.38647	665.27765	-1418.5033	1473.68384
219	1.09	807.31952	-1183.08936	1052.14209	771.86041	-1238.71716	1149.42908	659.8891	-1419.26965	1466.67358
220	1.095	803.84552	-1184.77588	1044.82678	767.86279	-1239.6936	1142.1427	654.60608	-1419.32581	1459.43372
221	1.1	800.20593	-1186.45044	1037.11243	763.74469	-1241.30103	1134.43774	648.94104	-1419.59351	1451.67871
222	1.105	796.4248	-1188.67419	1029.00305	759.63098	-1242.8855	1126.48792	643.60828	-1419.86096	1443.97949
223	1.11	792.46796	-1190.77405	1020.57208	755.42596	-1244.97925	1118.27441	637.93872	-1420.64758	1436.09558
224	1.115	788.50867	-1193.12122	1012.05341	751.04987	-1247.33508	1109.64172	632.19366	-1420.48267	1427.78772
225	1.12	784.4209	-1196.07007	1002.93207	746.53937	-1249.17847	1100.98206	626.80621	-1421.91235	1419.60632
226	1.125	780.19196	-1199.17664	993.84546	741.98901	-1252.04004	1091.74597	620.9469	-1422.59521	1410.83374
227	1.13	775.92828	-1202.31738	984.36365	737.37238	-1254.65356	1082.67639	615.14447	-1423.33655	1402.32727
228	1.135	771.3736	-1205.86475	974.70782	732.58655	-1257.60437	1073.18579	609.71875	-1424.2041	1393.61646
229	1.14	766.59271	-1209.57361	965.01196	727.65271	-1260.7843	1063.57471	603.9115	-1425.26685	1384.81128
230	1.145	761.85693	-1213.56006	955.02545	722.67523	-1264.32642	1053.79395	598.1958	-1426.72339	1375.85767
231	1.15	756.79462	-1217.91956	944.7984	717.54883	-1267.98511	1043.88562	592.65228	-1428.66052	1366.82825
232	1.155	751.66492	-1222.39124	934.66766	712.43231	-1272.00647	1033.9541	587.2746	-1430.00647	1357.85632
233	1.16	746.521	-1227.20361	924.23773	707.11688	-1275.59937	1024.08179	581.83093	-1432.35632	1348.82336
234	1.165	741.23828	-1232.06909	913.79901	701.83905	-1280.11975	1013.94031	576.32867	-1433.88574	1340.05579
